s,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10
s01,right,right,left,right,right,right,right,right,right,right
s02,right,left,right,right,right,right,right,right,right,right
s03,right,right,left,right,right,right,right,right,right,right
s04,right,right,left,right,right,right,right,right,right,right
s05,right,right,left,right,right,right,right,right,right,right
s06,right,right,left,right,right,right,right,right,right,right
s07,right,left,right,left,right,left,right,left,left,left
s08,right,right,left,right,right,right,right,right,right,right
s09,right,right,left,right,right,right,right,right,right,right
s10,right,left,right,left,right,left,right,left,left,left
